id,userId,sectionId,read,readDate,createdAt,updatedAt
"28c48835-d5ec-4619-9bf6-8205ea0acc98",,1,true,,2025-06-23T23:21:14.191Z,2025-08-18T02:52:31.514Z
"d7e64701-16c9-46d6-ad7d-696b781221e6",,2,true,,2025-06-23T23:21:14.216Z,2025-08-18T02:52:32.603Z
"1f9872f5-b6f8-4b7d-9ef6-afd54d0cc118",,3,true,,2025-06-23T23:21:14.237Z,2025-08-18T02:52:37.257Z
"e3d74a10-27f0-4928-b578-21b99522ff70",,4,false,,2025-06-23T23:21:14.264Z,2025-06-23T23:21:14.264Z
"486e1407-093d-4ede-8cbe-651626a06f8d",,5,true,,2025-06-23T23:21:14.282Z,2025-08-18T04:32:19.669Z
"878b3ad8-f4aa-4b61-aeac-a5d56aabc1ae",,6,false,,2025-06-23T23:21:14.310Z,2025-06-23T23:21:14.310Z
"b7aef618-c488-4f81-aacc-857a1373abc2",,7,false,,2025-06-23T23:21:14.362Z,2025-06-23T23:21:14.362Z
"56d36f12-2e4e-42c3-96c0-e54b1e86f61e",,8,false,,2025-06-23T23:21:14.381Z,2025-06-23T23:21:14.381Z
"32cebdca-322b-4a18-8070-66ef7bee14d5",,9,false,,2025-06-23T23:21:14.431Z,2025-06-23T23:21:14.431Z
"5fbcb537-1782-4bf9-9927-af28cf46aaed",,10,false,,2025-06-23T23:21:14.471Z,2025-06-23T23:21:14.471Z
"2d1f8b40-cd6b-4ab5-86c6-ed7653833519",,11,false,,2025-06-23T23:21:14.498Z,2025-06-23T23:21:14.498Z
"ee88f4be-d175-403b-bcd3-1b1a6216335c",,12,false,,2025-06-23T23:21:14.517Z,2025-06-23T23:21:14.517Z
"14dbe634-e114-4924-97f8-0c7afa5aec12",,13,false,,2025-06-23T23:21:14.542Z,2025-06-23T23:21:14.542Z
"6bc4fbcc-50b0-4a6e-bf69-a9c04ca2ec32",,14,false,,2025-06-23T23:21:14.562Z,2025-06-23T23:21:14.562Z
"05fb353b-0ab5-4029-bd06-62c688a2bce3",,15,false,,2025-06-23T23:21:14.597Z,2025-06-23T23:21:14.597Z
"cafde1c6-5286-45e9-b1a2-02ced8b2a069",,16,false,,2025-06-23T23:21:14.632Z,2025-06-23T23:21:14.632Z
"0e224c27-b8fd-461c-9350-ed068744bcc5",,17,false,,2025-06-23T23:21:14.652Z,2025-06-23T23:21:14.652Z
"74beb1ee-ddcd-4541-b02b-eea1317f36f3",,18,false,,2025-06-23T23:21:14.670Z,2025-06-23T23:21:14.670Z
"f31898dd-9334-4b37-b424-6248b08a1a31",,19,false,,2025-06-23T23:21:14.688Z,2025-06-23T23:21:14.688Z
"8d0cc606-793a-4eee-81c5-9722ebf3158b",,20,false,,2025-06-23T23:21:14.725Z,2025-06-23T23:21:14.725Z
"7d4d8e07-96e9-4ab9-9bb0-26d1c29dc6ef",,21,false,,2025-06-23T23:21:14.743Z,2025-06-23T23:21:14.743Z
"3a68f193-436b-454d-8f95-bdb0373312c3",,22,false,,2025-06-23T23:21:14.762Z,2025-06-23T23:21:14.762Z
"6abd8287-2c7a-424e-9063-4e1b174d67c7",,23,false,,2025-06-23T23:21:14.784Z,2025-06-23T23:21:14.784Z
"5cc73ade-31c8-4298-9ff6-149940152bb3",,24,false,,2025-06-23T23:21:14.824Z,2025-06-23T23:21:14.824Z
"de90997a-15bf-427a-ad65-709ee0c2c4b5",,25,false,,2025-06-23T23:21:14.842Z,2025-06-23T23:21:14.842Z
"b28209e7-ce17-497a-ade2-802c5fd40492",,26,false,,2025-06-23T23:21:14.884Z,2025-06-23T23:21:14.884Z
"2af7bd3c-69e7-4135-8c01-3a22f8d2626d",,27,false,,2025-06-23T23:21:14.945Z,2025-06-23T23:21:14.945Z
"f1baa02f-cf31-48b2-858e-7aa71044759c",,28,false,,2025-06-23T23:21:14.984Z,2025-06-23T23:21:14.984Z
"7c6191fd-b55f-4aec-a1b9-93269a083a4f",,29,false,,2025-06-23T23:21:15.232Z,2025-06-23T23:21:15.232Z
"cde0c644-ded9-443a-ac58-f927a1f46b31",,30,false,,2025-06-23T23:21:15.250Z,2025-06-23T23:21:15.250Z
"3c7785ad-4bad-4f10-a78d-8ac06325af91",,31,false,,2025-06-23T23:21:15.279Z,2025-06-23T23:21:15.279Z
"d1906a3e-4c37-4403-b52e-f48f984f517f",,32,false,,2025-06-23T23:21:15.298Z,2025-06-23T23:21:15.298Z
"b414a90f-4278-45c8-a4c6-5f0d6525ce90",,33,false,,2025-06-23T23:21:15.351Z,2025-06-23T23:21:15.351Z
